"date","state","stateName","grade","score","positive","negative","totalTestResults","death","hospitalized","positiveIncrease","negativeIncrease","totalTestResultsIncrease","deathIncrease","hospitalizedIncrease"
2020-03-06,"AK","Alaska","A",4,0,8,8,NA,NA,NA,NA,NA,NA,NA
2020-03-07,"AK","Alaska","A",4,0,12,12,NA,NA,0,4,4,0,0
2020-03-08,"AK","Alaska","A",4,0,14,14,NA,NA,0,2,2,0,0
2020-03-09,"AK","Alaska","A",4,0,23,23,NA,NA,0,9,9,0,0
2020-03-10,"AK","Alaska","A",4,0,23,23,NA,NA,0,0,0,0,0
2020-03-11,"AK","Alaska","A",4,0,46,46,NA,NA,0,23,23,0,0
2020-03-12,"AK","Alaska","A",4,0,46,46,NA,NA,0,0,0,0,0
2020-03-13,"AK","Alaska","A",4,1,59,60,NA,NA,1,13,14,0,0
2020-03-14,"AK","Alaska","A",4,1,143,144,NA,NA,0,84,84,0,0
2020-03-15,"AK","Alaska","A",4,1,143,144,NA,NA,0,0,0,0,0
2020-03-16,"AK","Alaska","A",4,1,143,144,NA,NA,0,0,0,0,0
2020-03-17,"AK","Alaska","A",4,3,334,337,NA,NA,2,191,193,0,0
2020-03-18,"AK","Alaska","A",4,6,406,412,NA,NA,3,72,75,0,0
2020-03-19,"AK","Alaska","A",4,6,432,438,NA,NA,0,26,26,0,0
2020-03-20,"AK","Alaska","A",4,12,686,698,NA,NA,6,254,260,0,0
2020-03-21,"AK","Alaska","A",4,14,758,772,NA,0,2,72,74,0,0
2020-03-22,"AK","Alaska","A",4,22,946,968,NA,0,8,188,196,0,0
2020-03-23,"AK","Alaska","A",4,22,946,968,NA,0,0,0,0,0,0
2020-03-24,"AK","Alaska","A",4,36,986,1022,NA,0,14,40,54,0,0
2020-03-25,"AK","Alaska","A",4,42,1649,1691,1,1,6,663,669,1,1
2020-03-26,"AK","Alaska","A",4,59,1801,1860,1,3,17,152,169,0,2
2020-03-27,"AK","Alaska","A",4,69,2319,2388,1,3,10,518,528,0,0
2020-03-28,"AK","Alaska","A",4,85,2836,2921,2,5,16,517,533,1,2
2020-03-29,"AK","Alaska","A",4,102,3232,3334,2,6,17,396,413,0,1
2020-03-30,"AK","Alaska","A",4,114,3540,3654,3,7,12,308,320,1,1
2020-03-31,"AK","Alaska","A",4,119,3594,3713,3,7,5,54,59,0,0
2020-04-01,"AK","Alaska","A",4,133,4470,4603,3,9,14,876,890,0,2
2020-04-02,"AK","Alaska","A",4,143,4879,5022,3,9,10,409,419,0,0
2020-04-03,"AK","Alaska","A",4,157,5859,6016,3,15,14,980,994,0,6
2020-04-04,"AK","Alaska","A",4,171,5869,6040,5,16,14,10,24,2,1
2020-04-05,"AK","Alaska","A",4,185,6099,6284,6,20,14,230,244,1,4
2020-04-06,"AK","Alaska","A",4,191,6692,6883,6,23,6,593,599,0,3
2020-04-07,"AK","Alaska","A",4,213,6700,6913,6,23,22,8,30,0,0
2020-04-08,"AK","Alaska","A",4,226,6842,7068,7,27,13,142,155,1,4
2020-04-09,"AK","Alaska","A",4,235,6988,7223,7,27,9,146,155,0,0
2020-04-10,"AK","Alaska","A",4,246,7186,7432,7,28,11,198,209,0,1
2020-04-11,"AK","Alaska","A",4,257,7475,7732,8,31,11,289,300,1,3
2020-04-12,"AK","Alaska","A",4,272,7766,8038,8,31,15,291,306,0,0
2020-04-13,"AK","Alaska","A",4,277,7553,7830,8,32,5,-213,-208,0,1
2020-04-14,"AK","Alaska","A",4,285,8063,8348,9,32,8,510,518,1,0
2020-04-15,"AK","Alaska","A",4,293,8371,8664,9,34,8,308,316,0,2
2020-04-16,"AK","Alaska","A",4,300,8435,8735,9,35,7,64,71,0,1
2020-04-17,"AK","Alaska","A",4,309,9141,9450,9,36,9,706,715,0,1
2020-04-18,"AK","Alaska","A",4,314,9341,9655,9,36,5,200,205,0,0
2020-04-19,"AK","Alaska","A",4,319,9576,9895,9,36,5,235,240,0,0
2020-03-07,"AL","Alabama","B",3,0,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-08,"AL","Alabama","B",3,0,NA,0,NA,NA,0,0,0,0,0
2020-03-09,"AL","Alabama","B",3,0,NA,0,NA,NA,0,0,0,0,0
2020-03-10,"AL","Alabama","B",3,0,0,0,NA,NA,0,0,0,0,0
2020-03-11,"AL","Alabama","B",3,0,10,10,NA,NA,0,10,10,0,0
2020-03-12,"AL","Alabama","B",3,0,10,10,NA,NA,0,0,0,0,0
2020-03-13,"AL","Alabama","B",3,1,11,12,NA,NA,1,1,2,0,0
2020-03-14,"AL","Alabama","B",3,6,22,28,NA,NA,5,11,16,0,0
2020-03-15,"AL","Alabama","B",3,12,28,40,0,NA,6,6,12,0,0
2020-03-16,"AL","Alabama","B",3,28,28,56,0,NA,16,0,16,0,0
2020-03-17,"AL","Alabama","B",3,36,28,64,0,NA,8,0,8,0,0
2020-03-18,"AL","Alabama","B",3,46,28,74,0,NA,10,0,10,0,0
2020-03-19,"AL","Alabama","B",3,68,28,96,0,NA,22,0,22,0,0
2020-03-20,"AL","Alabama","B",3,81,28,109,0,NA,13,0,13,0,0
2020-03-21,"AL","Alabama","B",3,124,28,152,0,NA,43,0,43,0,0
2020-03-22,"AL","Alabama","B",3,138,1464,1602,0,NA,14,1436,1450,0,0
2020-03-23,"AL","Alabama","B",3,167,1665,1832,0,NA,29,201,230,0,0
2020-03-24,"AL","Alabama","B",3,215,2106,2321,0,NA,48,441,489,0,0
2020-03-25,"AL","Alabama","B",3,283,2529,2812,0,NA,68,423,491,0,0
2020-03-26,"AL","Alabama","B",3,506,3593,4099,1,NA,223,1064,1287,1,0
2020-03-27,"AL","Alabama","B",3,587,4184,4771,3,NA,81,591,672,2,0
2020-03-28,"AL","Alabama","B",3,696,4184,4880,3,NA,109,0,109,0,0
2020-03-29,"AL","Alabama","B",3,806,4184,4990,4,NA,110,0,110,1,0
2020-03-30,"AL","Alabama","B",3,859,5694,6553,6,NA,53,1510,1563,2,0
2020-03-31,"AL","Alabama","B",3,981,6298,7279,13,NA,122,604,726,7,0
2020-04-01,"AL","Alabama","B",3,1077,6697,7774,26,NA,96,399,495,13,0
2020-04-02,"AL","Alabama","B",3,1233,7503,8736,32,NA,156,806,962,6,0
