"date","states","positive","negative","totalTestResults","death","hospitalized","positiveIncrease","negativeIncrease","totalTestResultsIncrease","deathIncrease","hospitalizedIncrease"
2020-02-28,1,9,NA,9,4,NA,NA,NA,NA,NA,NA
2020-02-29,1,18,NA,18,5,NA,9,0,9,1,0
2020-03-01,3,40,NA,40,8,NA,22,0,22,3,0
2020-03-02,3,53,NA,53,11,NA,13,0,13,3,0
2020-03-03,3,94,6,100,14,NA,41,6,47,3,0
2020-03-04,16,209,759,968,16,NA,115,753,868,2,0
2020-03-05,25,276,970,1246,20,NA,67,211,278,4,0
2020-03-06,37,394,1588,1982,26,NA,118,618,736,6,0
2020-03-07,51,550,1839,2389,27,NA,156,251,407,1,0
2020-03-08,51,731,2335,3066,31,NA,181,496,677,4,0
2020-03-09,51,1048,3344,4392,35,NA,317,1009,1326,4,0
2020-03-10,51,1365,3812,5177,37,NA,317,468,785,2,0
2020-03-11,51,1757,6106,7863,43,NA,392,2294,2686,6,0
2020-03-12,51,2221,8041,10262,51,NA,464,1935,2399,8,0
2020-03-13,51,3095,13613,16708,55,NA,874,5572,6446,4,0
2020-03-14,51,3846,17102,20948,63,NA,751,3489,4240,8,0
2020-03-15,51,4902,22624,27526,76,NA,1056,5522,6578,13,0
2020-03-16,56,6182,36104,42286,97,NA,1280,13480,14760,21,0
2020-03-17,56,8366,48053,56419,119,NA,2184,11949,14133,22,0
2020-03-18,56,10939,67168,78107,142,NA,2573,19115,21688,23,0
2020-03-19,56,15134,88939,104073,185,NA,4195,21771,25966,43,0
2020-03-20,56,20908,118970,139878,247,NA,5774,30031,35805,62,0
2020-03-21,56,27435,157536,184971,297,1964,6527,38566,45093,50,1964
2020-03-22,56,36391,195106,231497,426,2498,8956,37570,46526,129,534
2020-03-23,56,47066,240160,287226,509,3258,10675,45054,55729,83,760
2020-03-24,56,57224,296585,353809,706,4091,10158,56425,66583,197,833
2020-03-25,56,69508,363191,432699,931,5436,12284,66606,78890,225,1345
2020-03-26,56,86811,442281,529092,1208,9147,17303,79090,96393,277,3711
2020-03-27,56,105484,534249,639733,1574,11541,18673,91968,110641,366,2394
2020-03-28,56,124884,622779,747663,2001,13749,19400,88530,107930,427,2208
2020-03-29,56,144377,696372,840749,2467,16263,19493,73593,93086,466,2514
2020-03-30,56,165597,793796,959393,2983,18511,21220,97424,118644,516,2248
2020-03-31,56,190078,876287,1066365,3803,22167,24481,82491,106972,820,3656
2020-04-01,56,215329,954517,1169846,4746,26057,25251,78230,103481,943,3890
2020-04-02,56,243403,1048398,1291801,5835,30198,28074,93881,121955,1089,4141
2020-04-03,56,275457,1148355,1423812,7026,33501,32054,99957,132011,1191,3303
2020-04-04,56,308993,1344087,1653080,8379,37667,33536,195732,229268,1353,4166
2020-04-05,56,334967,1440716,1775683,9554,40223,25974,96629,122603,1175,2556
2020-04-06,56,363719,1561212,1924931,10720,43198,28752,120496,149248,1166,2975
2020-04-07,56,394156,1678874,2073030,12646,45500,30437,117662,148099,1926,2302
2020-04-08,56,424289,1788277,2212566,14547,48917,30133,109403,139536,1901,3417
2020-04-09,56,458635,1916720,2375355,16424,52051,34346,128443,162789,1877,3134
2020-04-10,56,493185,2036030,2529215,18488,56342,34550,119310,153860,2064,4291
2020-04-11,56,522843,2142823,2665666,20423,58549,29658,106793,136451,1935,2207
2020-04-12,56,551826,2254066,2805892,21919,61201,28983,111243,140226,1496,2652
2020-04-13,56,576774,2358232,2935006,23369,62673,24948,104166,129114,1450,1472
2020-04-14,56,602473,2479147,3081620,25668,67547,25699,120915,146614,2299,4874
2020-04-15,56,632656,2610099,3242755,28160,69603,30183,130952,161135,2492,2056
2020-04-16,56,663260,2737804,3401064,30296,74705,30604,127705,158309,2136,5102
2020-04-17,56,694520,2862973,3557493,32365,77955,31260,125169,156429,2069,3250
2020-04-18,56,722182,2976352,3698534,34139,78839,27662,113379,141041,1774,884
2020-04-19,56,749203,3116661,3865864,35793,80881,27021,140309,167330,1654,2042
