"","ID1","ID2","TIETYPE","SEX1","SEX2","AGE1","AGE2","STUDYNUM"
"1","1_1","106_1","sexual","female","female",27,37,1
"2","1_1","236_1","social","female","female",25,27,1
"3","1_1","266_1","social","female","female",26,28,1
"4","1_1","283_1","social","female","female",26,20,1
"5","1_1","337_1","social","female","female",25,29,1
"6","1_1","370_1","social","female","female",27,27,1
"7","1_1","618_1","social","female","female",26,26,1
"8","1_1","619_1","social","female","male",24,28,1
"9","1_1","880_1","social","female","male",24,24,1
"10","1_1","880_1","sexual","female","male",24,24,1
"11","1_1","1212_1","social","female","female",24,42,1
"12","1_1","1212_1","social","female","female",25,43,1
"13","1_1","3452_1","social","female","male",25,47,1
"14","1_1","3452_1","sexual","female","male",25,47,1
"15","1_1","3453_1","sexual","female","male",26,21,1
"16","1_1","3453_1","sexual","female","male",27,22,1
"17","1_1","3454_1","social","female","male",26,28,1
"18","1_1","3455_1","sexual","female","male",26,42,1
"19","1_1","3456_1","sexual","female","male",26,25,1
"20","1_1","5101_1","social","female","male",27,50,1
"21","1_1","5101_1","sexual","female","male",27,50,1
"22","1_1","5102_1","sexual","female","male",27,28,1
"23","1_1","11724_1","social","female","male",24,35,1
"24","1_1","11724_1","sexual","female","male",24,35,1
"25","1_1","11725_1","sexual","female","male",24,40,1
"26","1_1","11726_1","sexual","female","male",24,35,1
"27","1_1","11727_1","sexual","female","male",24,50,1
"28","1_1","11728_1","sexual","female","male",24,28,1
"29","1_1","11729_1","sexual","female","male",24,24,1
"30","1_1","11730_1","social","female","male",25,30,1
"31","1_1","11730_1","sexual","female","male",25,30,1
"32","1_1","11731_1","social","female","female",25,26,1
"33","1_1","11732_1","social","female","male",25,27,1
"34","1_1","11732_1","sexual","female","male",25,27,1
"35","1_1","11733_1","social","female","male",25,35,1
"36","1_1","11733_1","sexual","female","male",25,35,1
"37","1_1","11734_1","social","female","male",25,28,1
"38","1_1","11734_1","sexual","female","male",25,28,1
"39","1_1","11735_1","social","female","male",25,28,1
"40","1_1","11735_1","sexual","female","male",25,28,1
"41","1_1","11736_1","sexual","female","male",25,45,1
"42","1_1","11737_1","sexual","female","male",25,42,1
"43","1_1","11738_1","social","female","male",25,35,1
"44","1_1","11738_1","sexual","female","male",25,35,1
"45","1_1","11739_1","social","female","male",25,25,1
"46","1_1","11739_1","sexual","female","male",25,25,1
"47","1_1","11740_1","social","female","male",26,30,1
"48","1_1","11741_1","social","female","male",26,30,1
"49","1_1","11741_1","sexual","female","male",26,30,1
"50","1_1","11741_1","sexual","female","male",27,31,1
"51","1_1","12975_1","sexual","female","male",27,35,1
"52","1_1","12976_1","sexual","female","male",27,60,1
"53","1_1","12977_1","sexual","female","male",27,26,1
"54","1_1","12978_1","sexual","female","male",27,30,1
"55","1_1","12979_1","sexual","female","male",27,50,1
"56","1_1","12980_1","sexual","female","male",27,28,1
"57","1_1","12981_1","sexual","female","male",27,30,1
"58","1_1","12982_1","sexual","female","male",27,30,1
"59","1_1","12983_1","sexual","female","male",27,40,1
"60","1_1","12984_1","sexual","female","male",27,40,1
"61","1_1","12985_1","sexual","female","male",27,35,1
"62","1_1","12986_1","sexual","female","male",27,50,1
"63","1_1","12987_1","sexual","female","male",27,50,1
"64","1_1","12988_1","sexual","female","male",27,45,1
"65","1_1","12989_1","sexual","female","male",27,42,1
"66","2_1","107_1","social","female","female",23,23,1
"67","2_1","499_1","social","female","female",25,26,1
"68","2_1","1092_1","social","female","male",23,24,1
"69","2_1","1092_1","social","female","male",24,25,1
"70","2_1","1092_1","social","female","male",25,26,1
"71","2_1","1145_1","social","female","male",24,40,1
"72","2_1","1145_1","social","female","male",25,41,1
"73","2_1","1147_1","social","female","female",23,42,1
"74","2_1","1147_1","social","female","female",24,43,1
"75","2_1","1147_1","social","female","female",25,44,1
"76","2_1","1147_1","social","female","female",26,45,1
"77","2_1","1166_1","social","female","male",23,43,1
"78","2_1","1166_1","social","female","male",24,44,1
"79","2_1","1166_1","social","female","male",25,45,1
"80","2_1","1166_1","social","female","male",26,46,1
"81","2_1","4050_1","social","female","male",23,32,1
"82","2_1","4050_1","sexual","female","male",23,32,1
"83","2_1","4051_1","social","female","female",23,19,1
"84","2_1","4052_1","social","female","female",23,36,1
"85","2_1","4052_1","social","female","female",25,38,1
"86","2_1","4053_1","social","female","female",23,77,1
"87","2_1","4053_1","social","female","female",24,78,1
"88","2_1","4053_1","social","female","female",25,79,1
"89","2_1","4054_1","social","female","male",23,40,1
"90","2_1","4054_1","sexual","female","male",23,40,1
"91","2_1","4054_1","social","female","male",25,42,1
"92","2_1","4058_1","social","female","male",24,1,1
"93","2_1","4058_1","social","female","male",25,2,1
"94","2_1","4058_1","social","female","male",26,3,1
"95","2_1","4060_1","social","female","male",24,32,1
"96","2_1","4060_1","sexual","female","male",24,32,1
"97","2_1","4061_1","social","female","male",24,39,1
"98","2_1","4061_1","sexual","female","male",24,39,1
"99","2_1","5404_1","social","female","male",25,27,1
"100","2_1","5404_1","sexual","female","male",25,27,1
"101","2_1","5404_1","social","female","male",26,29,1
"102","2_1","5404_1","sexual","female","male",26,29,1
"103","2_1","5405_1","social","female","male",25,0,1
"104","2_1","5405_1","social","female","male",26,2,1
"105","2_1","5406_1","social","female","female",25,30,1
"106","2_1","5407_1","social","female","male",25,38,1
"107","2_1","5408_1","social","female","female",25,8,1
"108","2_1","5409_1","social","female","female",25,6,1
"109","2_1","5410_1","social","female","male",25,1,1
"110","2_1","5411_1","social","female","male",25,25,1
"111","2_1","5513_1","social","female","male",26,37,1
"112","2_1","5513_1","sexual","female","male",26,37,1
"113","2_1","5514_1","social","female","female",26,32,1
"114","2_1","12202_1","sexual","female","male",23,40,1
"115","2_1","13228_1","sexual","female","male",26,-9,1
"116","4054_1","4055_1","sexual","male","female",42,-9,1
"117","3_1","94_1","social","male","female",NA,33,1
"118","3_1","94_1","sexual","male","female",NA,33,1
"119","3_1","94_1","sexual","male","female",NA,34,1
"120","3_1","3209_1","social","male","female",NA,68,1
"121","3_1","3209_1","sexual","male","female",NA,68,1
"122","3_1","3210_1","social","male","male",NA,22,1
"123","3_1","11556_1","social","male","male",NA,30,1
"124","4_1","288_1","social","female","female",29,36,1
"125","4_1","1182_1","social","female","female",29,61,1
"126","4_1","1182_1","social","female","female",30,62,1
"127","4_1","1182_1","social","female","female",31,63,1
"128","4_1","1182_1","social","female","female",32,63,1
"129","4_1","1198_1","social","female","male",29,30,1
"130","4_1","1198_1","sexual","female","male",29,30,1
"131","4_1","1198_1","social","female","male",30,31,1
"132","4_1","1198_1","sexual","female","male",30,31,1
"133","4_1","1198_1","social","female","male",31,32,1
"134","4_1","1198_1","sexual","female","male",31,32,1
"135","4_1","1198_1","social","female","male",32,32,1
"136","4_1","1198_1","sexual","female","male",32,32,1
"137","4_1","1256_1","social","female","male",29,64,1
"138","4_1","1256_1","social","female","male",30,65,1
"139","4_1","1256_1","social","female","male",31,66,1
"140","4_1","1256_1","social","female","male",32,66,1
"141","4_1","2150_1","social","female","male",29,32,1
"142","4_1","2150_1","sexual","female","male",29,32,1
"143","4_1","2151_1","social","female","female",29,29,1
"144","4_1","2152_1","social","female","male",30,65,1
"145","4_1","4698_1","social","female","female",32,58,1
"146","5_1","41_1","social","female","female",30,29,1
"147","5_1","51_1","sexual","male","female",34,28,1
"148","5_1","58_1","social","male","female",34,22,1
"149","5_1","58_1","sexual","male","female",34,22,1
"150","5_1","64_1","sexual","male","female",33,30,1
"151","5_1","77_1","sexual","male","female",34,33,1
"152","5_1","151_1","sexual","male","female",33,35,1
"153","5_1","151_1","social","male","female",34,36,1
"154","5_1","151_1","sexual","male","female",34,36,1
"155","5_1","155_1","sexual","male","female",34,21,1
"156","5_1","170_1","sexual","male","female",36,22,1
"157","5_1","192_1","sexual","male","female",33,31,1
"158","5_1","236_1","sexual","male","female",34,27,1
"159","5_1","259_1","sexual","male","female",33,23,1
"160","5_1","262_1","social","male","female",36,26,1
"161","5_1","262_1","sexual","male","female",36,26,1
"162","5_1","330_1","sexual","male","female",34,33,1
"163","5_1","337_1","sexual","male","female",34,29,1
"164","5_1","421_1","sexual","male","female",33,31,1
"165","5_1","422_1","social","male","male",33,20,1
"166","5_1","1043_1","sexual","male","female",33,48,1
"167","5_1","5103_1","social","male","female",36,40,1
"168","5_1","5103_1","sexual","male","female",36,40,1
"169","5_1","5479_1","social","male","female",37,35,1
"170","5_1","5479_1","sexual","male","female",37,35,1
"171","5_1","5480_1","social","male","female",37,24,1
"172","5_1","5481_1","social","male","female",37,58,1
"173","5_1","5741_1","social","male","male",37,64,1
"174","5_1","10024_1","sexual","male","female",33,31,1
"175","5_1","12990_1","sexual","male","female",36,38,1
"176","5_1","12991_1","sexual","male","female",36,34,1
"177","5_1","12992_1","sexual","male","female",36,24,1
"178","5_1","13188_1","sexual","male","female",37,23,1
"179","5_1","13189_1","sexual","male","female",37,24,1
"180","5_1","13190_1","sexual","male","female",37,22,1
"181","5_1","13191_1","social","male","female",37,23,1
"182","64_1","268_1","social","female","male",30,36,1
"183","64_1","10019_1","social","female","female",30,29,1
"184","64_1","10061_1","social","female","female",30,30,1
"185","151_1","41_1","social","female","female",35,29,1
"186","151_1","268_1","social","female","male",35,36,1
"187","151_1","292_1","social","female","male",35,45,1
"188","151_1","10019_1","social","female","female",35,29,1
"189","151_1","10061_1","social","female","female",35,30,1
"190","421_1","41_1","social","female","female",31,29,1
"191","421_1","10019_1","social","female","female",31,29,1
"192","421_1","10061_1","social","female","female",31,30,1
"193","422_1","41_1","social","male","female",20,29,1
"194","422_1","268_1","social","male","male",20,36,1
"195","422_1","10019_1","social","male","female",20,29,1
"196","10024_1","41_1","social","female","female",31,29,1
"197","10024_1","10019_1","social","female","female",31,29,1
"198","10024_1","10061_1","social","female","female",31,30,1
"199","6_1","3521_1","social","male","male",59,40,1
