dst	src
401723	400008
400597	400199
401570	401862
300014	400014
400714	400525
400896	300121
300115	400788
400243	300009
400272	400211
400482	400331
400207	300009
300083	400565
400545	400783
400323	401722
400223	401868
300021	401669
400611	300062
401594	400354
400071	300115
400390	400468
400969	300064
401599	400547
300030	400785
400258	300084
401577	400749
401599	400883
400361	400285
400987	300033
300038	400688
300014	300227
400649	401995
300071	401612
300180	401653
300103	400705
400264	401971
400793	300085
400830	400788
400531	400344
400891	400997
400057	300024
300227	401608
300235	400903
300040	400212
300003	400688
400593	400434
400130	400468
400545	300030
400207	300022
300073	401924
402001	401101
300003	400079
401600	400896
400349	400362
300035	400199
401573	400745
400987	300010
400699	400884
400408	300062
400099	400340
401723	401214
400079	300093
400130	401553
400113	300047
400536	300070
400130	401872
400343	300123
401572	401001
400331	401972
300032	300141
402006	400405
400223	300088
300183	400700
400204	400597
401923	400002
400739	400232
400361	400646
400713	400785
300115	400469
400951	300141
400620	400787
400100	400589
400888	400748
400611	400730
300075	400565
401576	400508
400071	400390
400221	400051
401999	300060
400256	400740
400618	300020
401973	400489
400772	400892
400466	400440
300152	401994
401966	300127
400547	300023
300206	400273
401864	400585
400341	400279
400886	401697
400281	402121
401117	401607
300059	400639
400033	400887
400739	400892
300076	400434
400221	400648
400390	401999
300101	401690
400986	401609
300075	400649
400567	300062
400965	401593
300153	400984
400749	400872
401963	401527
400620	400990
300224	400483
401705	400257
400844	400210
401595	400875
300038	401876
400618	401971
400835	401704
400880	300152
400640	400728
401862	300153
300103	401609
400306	401923
400140	400441
400108	401874
401616	401996
400559	401592
401602	300015
400536	300087
401875	401565
400735	400331
400410	400434
400706	400489
400470	300004
400466	400995
400223	400489
400842	400262
400734	400212
400902	400736
400140	400993
400647	401563
400226	300028
400699	400615
400079	400701
400742	400210
400844	400262
401654	401877
400473	401609
400241	401971
400900	400829
400329	400489
400710	400707
300013	400885
400773	400708
400743	400373
400618	400349
400780	400199
400963	400642
400320	400750
401214	400643
300054	300076
401691	300209
401972	400995
401654	401616
402001	402109
401921	400585
400582	300123
400526	300029
401705	400642
400538	400005
400197	401567
400344	400260
401968	400730
300088	400012
300065	400422
400846	300123
400453	300232
300055	400996
400981	400776
401700	300027
400830	300042
401598	400332
300047	400237
401968	400601
400388	400649
300126	300020
400586	400588
400142	400212
400263	400780
300049	400640
400577	400005
400845	400992
401693	401592
300118	400331
300030	401717
300075	400413
400340	400365
400340	400740
400323	400259
400207	400224
401733	400565
402122	400842
300085	401996
400158	400257
300209	400649
400593	400483
401862	400179
